,FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,,,!!! NOTE!!!
,DELI K'AT,Bors cu smantana,Borch with sour cream,40 g,"10,-",,3 850104 265624,,
,DELI K'AT,Original,Original,20 g,"10,-",,,,
,DELI K'AT,Legume,Vegetables,75 g,"12,-",,8 712100 386497,,
,DELI K'AT,Legume,VEGETABLES,250 g,"20,-",,8 712100 386473,,
,DELI K'AT,Gust de gaina,Chicken taste,75 g,"12,-",,8 712100 386619,,
,DELI K'AT,Gust de gaina,Chicken taste,250 g,"20,-",,8 712100 386633,,
,DELI K'AT,Condimente pentru barbeque pui,Chicken barbecue spices,30 g,"12,-",,8 712566 379835,,
,DELI K'AT,Condimente pentru barbeque porc,Pig barbecue spices,30 g,"12,-",,8 712566 379811,,
,DELI K'AT,Bors magic original,Magic borch – Original,20 g,"10,-",,8 718114 876009,,
,MAGGI,Bors magic cu verdeturi,Magic borch – with greens/herbs,70 g,"12,-",,8 718114 876139,,
,ALEX,Bors magic cu legume,Magic borch – with vegetables,70 g,"12,-",,8 718114 876115,,
,ALEX,Bors magic cu smantana,Magic borch – with sour cream,40 g,"12,-",,8 718114 876122,,
,DR. OETKER,Bors,Borch,70 g,"10,-",,8 585002 471468,,
,DR. OETKER,Esenta de vanilie,Vanilla essence (small bottle),25 ml,"7,-",,5 941417 010839,,
,DR. OETKER,Zahar cu pudra cu aroma de vanilie,Powder sugar with vanilla aroma,75 g,"8,-",,5 941417 003237,,
,DR. OETKER,Esenta de rom,Rum essence (small bottle),38 ml,"12,-",,5945 8845,,
,DR. OETKER,Esenta de vanilie,Vanilla essence (small bottle),38 ml,"12,-",,5945 8852,,
,DR. OETKER,Praf copt,Baking powder,10 g,"5,-",,5 941132 400021,,
,DR. OETKER,Zahar vanilat,Vanilla sugar,8 g,"5,-",,5 941132 400014,,
,BONITO,Praf de spuma pt. Deserturi cu gust de frisca,Dust flavoured cream mousse,48 g,"12,-",,5 941132 300109,,
,BONITO,Crema pt. Prajituri cu gust de vanilie,Cream for cakes with vanilla aroma,50 g,"12,-",,5 941132 300079,,
,,Categorie PESTE SI PRODUSE DIN PESTE,Category FISH AND FISH PRODUCTS,,,,,,
,SALMARIS,Salata cu icre hering si peste afumat,Salad with herring roe and smoked fish,170 g,"20,-",,,,
,SALMARIS,Salata cu icre hering si masline,Salad with herring roe and olives,170 g,"20,-",,,,
,SALMARIS,Salata cu icre hering si ceapa,Salad with herring roe and onion,170 g,"20,-",,,,
,SALMARIS,Salata cu icre crap si ceapa,Saladwith carp roe and onion,170 g,"20,-",,,,
,SALMARIS,Hering marinat cu legume,Marinated hering with vegetables,315 g,"20,-",,6 420169 002358,,
,SALMARIS,Salata cu icre,Caviar salad,140 g,"15,-",,,,
,SALMARIS,Salata icre,Caviar salad,70 g,"7,-",,5 941880 902648,,
,SALMARIS,Salata cu icre hering,Hering caviar salad,70 g,"7,-",,5 941880 902075,,
,FABRICA DE CONSERVE RAURENI,Salata cu icre crap,Carp caviar salad,150 g,"15,-",,5 941880 902068,,
,FABRICA DE CONSERVE RAURENI,Salata cu icre hering,Hering caviar salad,150 g,"15,-",,5 941880 902082,,
,PRIMA OLIVES,Categorie MURATURI,Category PICKLES,,,,,,
,PRIMA OLIVES,Castraveti in otet 6-9 cm,Cucumbers in vinegar 6-9 cm,680 g,"20,-",,,,
,GERMINO,Varza murata tocata in saramura,Chopped pickled cabbage in brine,700 g,"15,-",,,,
,PRIMA OLIVES,Ardei capia decojit,Peeled red pepper,?,"25,-",,,,
,NATURA,Categorie PASTE FAINOASE,Category PASTA,,,,,,
,NATURA,Fidea cuiburi,Vermicelli nests,200 g,"8,-",,5 941278 006811,,
