,,ПОДСОЛНЕЧНОЕ МАСЛО,SUNFLOWER OIL,WEIGHT,PRICE,,BARCODE
,Дары Кубани,Масло подсолнечное нерафинированное,Unrefined sunflower oil,0.65l,22.00,,4607014782036
,Премиум продукт,Подсолнечное масло Золота рафинированное ,,920g,20.00,,4820078570702
,Гранд- Стар,"Подсолнечное масло Кубаночка, ароматное нерафинированое вымороженное",,1 l,27.00,,4607029050373
,Укролия,Подсолнечное масло Диканька нерафинированное,,1 l,30.00,,4820077081940
,,СОУСЫ,SAUCES,WEIGHT,PRICE,,BARCODE
,Тещины рецепты,Соус Краснодарский домашний,"Tomato sauce ""A la cuisine Krasnodarskij""",300g,16.00,,4260099272085
,Тещины рецепты,Соус Кухарский,"Sauce ""Kukharskij""",300g,16.00,,4260099272078
,Русский Стиль,Соус Грузинский,"Tomato sauce ""Georgian""",300g,16.00,,5901008045220
,H&B,Хреновина соус острый с хреном,Hot sauce with horseradish,300g,16.00,,4260010122262
,Kedainiu konservai,Хреновина томатный соус острый с хреном,Hot tomatoe sauce with horseradish,300g,15.00,,4770583213840
,Чумак,Соус Херсонський,"Sauce ""Hersonskij""",500g,20.00,,4820001356298
,Чумак,Соус Кухарський,"Sauce ""Kukharskij""",500g,15.00,,4820001354409
,Чумак,Соус Козацький з хроном,"Sauce ""Kazackij"" with horseradish",200g,10.00,,4820156765709
,Чумак,Соус Грузинський до мяса,Geirgian sauce for meat,220g,16.00,,4820001355383
,Чумак,Соус Французький з гирчицею,French sauce with horseradish,200g,10.00,,4820001354140
,Едим дома,Соус Сацебели,"Sauce ""Sacebeli""",485g,20.00,,4820015946980
,,МАЙОНЕЗ,MAYONNAISE,WEIGHT,PRICE,,BARCODE
,Ильинский,Майонез классический,Classic mayonnaise,800ml,20.00,,4683875202487
,Ильинский,Майонез оливковый,Olive mayonnaise,400ml,19.00,,4683875202432
,Махеевь,Майонез провансаль,"Mayonnaise ""Provencal""",770g,37.00,,4604248002664
,Махеевь,Майонез провансаль,"Mayonnaise ""Provencal""",380g,20.00,,4604248000196
