"""Глобал Фууд Къмпани""ЕООД","IZZI, Бял Боб екстра Елит","White bean extra elit ""Izzi""",500 g.,15.00,3800053102556,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Пинто Шарен боб","Pinto sharen bean ""Izzi""",500 g.,15.00,3800053102754,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Салатен боб","Salad bean ""Izzi""",500 g.,17.00,3800053103157,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Бял Боб екстра Елит","White bean extra elit ""Izzi""","2, 5 kg.",59.00,3800053100187,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Бял Боб","White bean ""Izzi""",1 kg.,23.00,3800053110100,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Бял Боб","White bean ""Izzi""",500 g.,13.00,3800053100156,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Бял Боб, Екстра класически","White bean extra classic ""Izzi""",500 g.,15.00,3800053103751,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Бял Боб, Екстра класически","White bean extra classic ""Izzi""",1 kg.,27.00,3800000000,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Екзотик, Червена леща","Red exotic lentils ""Izzi""",500 g.,15.00,3800053103355,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Леард леща","Leard lens ""Izzi""",500 g.,17.00,3800053102457,NOODLE/ RICE/ BEAN/ LEAN,,,
"""Глобал Фууд Къмпани""ЕООД","IZZI, Леард канадска леща","Leard Canadian lentils ""Izzi""",1 kg.,27.00,3800053102402,NOODLE/ RICE/ BEAN/ LEAN,,,
